,veg,scenario,sspx,Yieldmean,Yieldstd
0,rice,optimized,ssp585,52.61455043274435,20.104621978714523
1,maize,optimized,ssp585,21.696662306205127,34.81601913298283
2,soybean,optimized,ssp585,-4.866845758298337,13.916702594896243
